trade_no,order_id,symbol,qty,side,entry_price,initial_stop_price,target_price,initial_sl_points,target_points,order_exit_time,trailing_levels,trailing_history,timestamp
1,25090500045464-BO-1,NSE:NIFTY2590924800CE,1,BUY,6.67,6.17,7.27,-0.5,0.5999999999999996,2025-09-05 09:38:28.694,"[{""threshold"": 9.67, ""new_stop"": 6.77, ""msg"": ""breakeven""}, {""threshold"": 16.67, ""new_stop"": 6.87, ""msg"": ""1st trail locked profit""}]","[{""ltp"": 89.2, ""level"": ""breakeven"", ""stop_price"": 6.77}, {""ltp"": 88.1, ""level"": ""1st trail locked profit"", ""stop_price"": 6.87}]",2025-09-05 09:38:28.694
1,25090500165074-BO-1,NSE:NIFTY2590924700PE,1,BUY,6.75,6.25,7.27,-0.5,0.5199999999999996,2025-09-05 11:08:41.888,"[{""threshold"": 9.75, ""new_stop"": 6.85, ""msg"": ""breakeven""}, {""threshold"": 16.75, ""new_stop"": 6.95, ""msg"": ""1st trail locked profit""}]","[{""ltp"": 90.9, ""level"": ""breakeven"", ""stop_price"": 6.85}, {""ltp"": 90.95, ""level"": ""1st trail locked profit"", ""stop_price"": 6.95}]",2025-09-05 11:08:41.888
1,25090500174885-BO-1,NSE:NIFTY2590924700PE,1,BUY,6.72,6.22,7.27,-0.5,0.5499999999999998,2025-09-05 11:23:44.566,"[{""threshold"": 9.719999999999999, ""new_stop"": 6.819999999999999, ""msg"": ""breakeven""}, {""threshold"": 16.72, ""new_stop"": 6.92, ""msg"": ""1st trail locked profit""}]","[{""ltp"": 86.85, ""level"": ""breakeven"", ""stop_price"": 6.819999999999999}, {""ltp"": 87.5, ""level"": ""1st trail locked profit"", ""stop_price"": 6.92}]",2025-09-05 11:23:44.566
